Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BC-0345797817.raw__raw_reads.read_1	BC-0345797817.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30610180.0	0.0	151.0	53.0	9.321782862422396	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
BC-0345797817.raw__raw_reads.read_2	BC-0345797817.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30610180.0	0.0	151.0	53.0	10.659890726040985	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345797839.raw__raw_reads.read_1	BC-0345797839.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32479546.0	0.0	151.0	55.0	14.163033323812352	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345797839.raw__raw_reads.read_2	BC-0345797839.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32479546.0	0.0	151.0	55.0	16.553701480294645	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345798087.raw__raw_reads.read_1	BC-0345798087.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	24980249.0	0.0	151.0	54.0	14.43973068372853	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
BC-0345798087.raw__raw_reads.read_2	BC-0345798087.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	24980249.0	0.0	151.0	54.0	15.903558837013895	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345798943.raw__raw_reads.read_1	BC-0345798943.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30586072.0	0.0	151.0	56.0	16.84695598420526	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345798943.raw__raw_reads.read_2	BC-0345798943.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30586072.0	0.0	151.0	56.0	18.241915997440753	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345799013.raw__raw_reads.read_1	BC-0345799013.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32271331.0	0.0	151.0	56.0	12.214835785684313	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0345799013.raw__raw_reads.read_2	BC-0345799013.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32271331.0	0.0	151.0	55.0	13.917864584297943	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0361053718.raw__raw_reads.read_1	BC-0361053718.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28488944.0	0.0	151.0	57.0	12.097082539552845	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0361053718.raw__raw_reads.read_2	BC-0361053718.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28488944.0	0.0	151.0	56.0	13.533334690140054	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0361053744.raw__raw_reads.read_1	BC-0361053744.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29735724.0	0.0	151.0	54.0	6.190653340960559	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0361053744.raw__raw_reads.read_2	BC-0361053744.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29735724.0	0.0	151.0	53.0	7.8093725185953105	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0361057091.raw__raw_reads.read_1	BC-0361057091.raw__raw_reads.read_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29352737.0	0.0	151.0	54.0	5.41216781211885	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
BC-0361057091.raw__raw_reads.read_2	BC-0361057091.raw__raw_reads.read_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29352737.0	0.0	151.0	54.0	7.127152155481797	151.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
